====================================================================================================
  QUEST 3 AR ROBOT CONTROL - DEBUG SESSION
  Started: 2026-03-11 17:24:21
  Platform: Windows 11
====================================================================================================

[17:24:21.787] [INIT] Server starting...
[17:24:21.787] [INIT] Platform: Windows
[17:24:21.789] [INIT] Arduino connected: False
[17:38:35.949] [INFO] Quest 3 connected from 10.201.149.105
[17:38:35.950] [INFO] Active connections: 1
[17:38:47.029] [MODE] MODE 1 ACTIVATED: Manual Control
[17:46:06.421] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:06.714] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:08.423] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:09.018] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:16.948] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:18.431] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:21.221] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:22.422] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:26.275] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:27.091] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:27.217] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:33.285] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:33.435] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:35.849] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:39.282] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:39.892] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:41.426] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:42.041] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:48.832] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:49.825] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:51.257] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:52.014] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:55.617] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:58.614] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:46:59.811] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:47:04.673] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:47:09.077] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:47:10.305] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:47:10.818] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:47:15.832] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:47:16.215] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:47:18.905] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:47:21.247] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:47:21.672] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
[17:47:32.019] [TRACK] Mode 4 tracking: X=73.9cm, Z=2.4cm, Heading=254.5°
